n, m
34890, 201037
34910, 180337
34930, 212939
34950, 175560
34970, 193069
34990, 172159
35010, 219511
35030, 197419
35050, 183988
35070, 167569
35090, 192845
35110, 213211
35130, 189867
35150, 165073
35170, 179278
35190, 214288
35210, 287427
35230, 181071
35250, 220989
35270, 221259
35290, 177753
35310, 194966
35330, 166414
35350, 221779
35370, 193351
35390, 242132
35410, 217474
35430, 181937
35450, 255644
35470, 195034
35490, 210152
35510, 190832
35530, 178025
35550, 198050
35570, 229672
35590, 176054
35610, 176457
35630, 224635
35650, 191304
35670, 195011
35690, 257748
35710, 203875
35730, 215830
35750, 176838
35770, 196959
35790, 211370
35810, 202984
35830, 169484
35850, 170798
35870, 184751
35890, 222327
35910, 276531
35930, 223221
35950, 212206
35970, 199423
35990, 221918
36010, 200501
36030, 216756
36050, 190804
36070, 189051
36090, 185065
36110, 187577
36130, 256997
36150, 187731
36170, 183523
36190, 178265
36210, 189331
36230, 185188
36250, 167359
36270, 177241
36290, 195387
36310, 206320
36330, 181465
36350, 197499
36370, 181814
36390, 211334
36410, 263856
36430, 239248
36450, 179202
36470, 263075
36490, 182594
36510, 187632
36530, 250462
36550, 191323
36570, 230744
36590, 187109
36610, 291469
36630, 210570
36650, 232770
36670, 227147
36690, 180774
36710, 205248
36730, 175584
36750, 206432
36770, 186927
36790, 192016
36810, 251987
36830, 208111
36850, 208668
36870, 196041
36890, 200225
36910, 185825
36930, 180834
36950, 215263
36970, 198863
36990, 201892
37010, 224545
37030, 194729
37050, 236287
37070, 194248
37090, 277492
37110, 189271
37130, 174266
37150, 184592
37170, 235404
37190, 199128
37210, 211973
37230, 236732
37250, 221710
37270, 175396
37290, 196619
37310, 243645
37330, 204069
37350, 267561
37370, 209887
37390, 181439
37410, 213337
37430, 259698
37450, 221652
37470, 220640
37490, 202747
37510, 202572
37530, 215527
37550, 221092
37570, 221458
37590, 204808
37610, 199402
37630, 209438
37650, 228615
37670, 244100
37690, 222863
37710, 211282
37730, 216529
37750, 222879
37770, 240437
37790, 183621
37810, 207865
37830, 183307
37850, 189252
37870, 198922
37890, 215919
37910, 207680
37930, 199299
37950, 212350
37970, 226086
37990, 242434
38010, 225188
38030, 206984
38050, 217066
38070, 217071
38090, 211870
38110, 220830
38130, 176677
38150, 244142
38170, 217527
38190, 213619
38210, 210155
38230, 235302
38250, 200269
38270, 227241
38290, 221507
38310, 247394
38330, 200801
38350, 218223
38370, 218534
38390, 175758
38410, 269337
38430, 168577
38450, 193450
38470, 190653
38490, 185388
38510, 192231
38530, 203494
38550, 207351
38570, 236929
38590, 177856
38610, 182203
38630, 220544
38650, 243456
38670, 248649
38690, 187315
38710, 200120
38730, 178405
38750, 256134
38770, 180068
38790, 223754
38810, 251957
38830, 189009
38850, 242650
38870, 215145
38890, 201993
38910, 221996
38930, 192029
38950, 224792
38970, 209310
38990, 237118
39010, 215743
39030, 221959
39050, 218266
39070, 206045
39090, 218135
39110, 249622
39130, 247130
39150, 201917
39170, 209457
39190, 227394
39210, 207574
39230, 205162
39250, 178124
39270, 209233
39290, 303222
39310, 191622
39330, 250041
39350, 233621
39370, 219923
39390, 194379
39410, 193546
39430, 227214
39450, 224027
39470, 211966
39490, 205226
39510, 245428
39530, 210002
39550, 198717
39570, 213409
39590, 199630
39610, 197490
39630, 272368
39650, 216216
39670, 210949
39690, 230313
39710, 184629
39730, 243566
39750, 215408
39770, 248757
39790, 220249
39810, 281780
39830, 209646
39850, 225582
39870, 289381
39890, 226863
39910, 190784
39930, 208234
39950, 221066
39970, 209379
39990, 201253
40010, 224819
40030, 201913
40050, 230302
40070, 185578
40090, 229666
40110, 211140
40130, 230022
40150, 194170
40170, 230513
40190, 220408
40210, 224123
40230, 254719
40250, 222818
40270, 241188
40290, 208449
40310, 223597
40330, 204794
40350, 180086
40370, 192399
40390, 186109
40410, 249609
40430, 200588
40450, 223224
40470, 219910
40490, 231724
40510, 194206
40530, 250105
40550, 209382
40570, 221874
40590, 232460
40610, 220545
40630, 229525
40650, 220712
40670, 250831
40690, 243931
40710, 241534
40730, 206174
40750, 209888
40770, 203394
40790, 207803
40810, 219185
40830, 238194
40850, 231137
40870, 229505
40890, 186496
40910, 213922
40930, 229517
40950, 231623
40970, 208705
40990, 214517
41010, 213720
41030, 190331
41050, 235561
41070, 215130
41090, 261523
41110, 241087
41130, 230978
41150, 210457
41170, 207752
41190, 218589
41210, 269649
41230, 203389
41250, 288317
41270, 219626
41290, 215810
41310, 221844
41330, 194548
41350, 224301
41370, 232220
41390, 199086
41410, 199878
41430, 212757
41450, 227489
41470, 198762
41490, 202072
41510, 224683
41530, 235249
41550, 201288
41570, 234348
41590, 254610
41610, 193795
41630, 231515
41650, 231251
41670, 211284
41690, 230313
41710, 273560
41730, 248885
41750, 324437
41770, 225391
41790, 209513
41810, 232156
41830, 221255
41850, 246189
41870, 226787
41890, 228908
41910, 238428
41930, 302972
41950, 213189
41970, 345888
41990, 247898
42010, 192392
42030, 217615
42050, 259615
42070, 218580
42090, 249403
42110, 254475
42130, 196010
42150, 212932
42170, 225413
42190, 210371
42210, 202910
42230, 213769
42250, 215718
42270, 221370
42290, 240672
42310, 280044
42330, 240165
42350, 260918
42370, 221046
42390, 235747
42410, 253784
42430, 325241
42450, 240729
42470, 217259
42490, 224734
42510, 254159
42530, 309540
42550, 252429
42570, 236809
42590, 211549
42610, 253921
42630, 270803
42650, 213295
42670, 260513
42690, 224249
42710, 224439
42730, 262593
42750, 309659
42770, 224512
42790, 238924
42810, 226178
42830, 216257
42850, 238133
42870, 235764
42890, 239630
42910, 226209
42930, 247420
42950, 306684
42970, 257403
42990, 250345
43010, 245788
43030, 244225
43050, 239106
43070, 241269
43090, 225402
43110, 251077
43130, 268744
43150, 239321
43170, 236370
43190, 228039
43210, 260741
43230, 225425
43250, 258291
43270, 207515
43290, 269185
43310, 252034
43330, 232192
43350, 231545
43370, 245804
43390, 261793
43410, 243409
43430, 226529
43450, 269990
43470, 262374
43490, 263408
43510, 235829
43530, 236404
43550, 233385
43570, 256746
43590, 246514
43610, 278344
43630, 210095
43650, 258482
43670, 296263
43690, 242759
43710, 227161
43730, 292399
43750, 220951
43770, 249609
43790, 256385
43810, 235810
43830, 267719
43850, 224785
43870, 236108
43890, 265933
43910, 257196
43930, 231877
43950, 262302
43970, 301788
43990, 252473
44010, 211680
44030, 231413
44050, 237547
44070, 244173
44090, 290397
44110, 252344
44130, 261072
44150, 235413
44170, 285160
44190, 216245
44210, 230785
44230, 249680
44250, 254778
44270, 242018
44290, 272167
44310, 253314
44330, 264693
44350, 209776
44370, 256505
44390, 260326
44410, 224016
44430, 251780
44450, 220706
44470, 257731
44490, 322719
44510, 305078
44530, 287657
44550, 305692
44570, 244517
44590, 265255
44610, 249809
44630, 269031
44650, 274673
44670, 272776
44690, 229301
44710, 244741
44730, 239578
44750, 228733
44770, 251069
44790, 237164
44810, 272140
44830, 221197
44850, 286416
44870, 226166
44890, 275037
44910, 219540
44930, 234432
44950, 230115
44970, 246680
44990, 258796
45010, 248693
45030, 294288
45050, 264139
45070, 258011
45090, 257051
45110, 210462
45130, 230952
45150, 222797
45170, 265174
45190, 239794
45210, 230296
45230, 318239
45250, 290555
45270, 248546
45290, 306328
45310, 278522
45330, 257201
45350, 260639
45370, 252322
45390, 227172
45410, 274328
45430, 300306
45450, 221826
45470, 220203
45490, 234415
45510, 262006
45530, 333615
45550, 368655
45570, 279351
45590, 238607
45610, 268561
45630, 303333
45650, 237083
45670, 265342
45690, 314608
45710, 266384
45730, 238815
45750, 297759
45770, 274364
45790, 234463
45810, 268434
45830, 233708
45850, 269259
45870, 288863
45890, 275116
45910, 261123
45930, 227243
45950, 304660
45970, 226567
45990, 221944
46010, 232281
46030, 244361
46050, 221962
46070, 312424
46090, 297889
46110, 248937
46130, 276569
46150, 250857
46170, 232060
46190, 242918
46210, 255431
46230, 233108
46250, 317850
46270, 231523
46290, 242729
46310, 221026
46330, 279535
46350, 244138
46370, 264212
46390, 233385
46410, 268574
46430, 247370
46450, 309021
46470, 264057
46490, 215185
46510, 319612
46530, 232160
46550, 223043
46570, 310206
46590, 296178
46610, 298338
46630, 272184
46650, 255016
46670, 265923
46690, 267563
46710, 314083
46730, 232476
46750, 240223
46770, 242505
46790, 283466
46810, 250645
46830, 260942
46850, 336061
46870, 235171
46890, 241422
46910, 231866
46930, 258530
46950, 240490
46970, 295289
46990, 279162
47010, 250798
47030, 244159
47050, 265357
47070, 296623
47090, 235594
47110, 319496
47130, 286152
47150, 267342
47170, 242064
47190, 283528
47210, 274166
47230, 261941
47250, 285256
47270, 281456
47290, 252273
47310, 263115
47330, 256021
47350, 253727
47370, 225494
47390, 231705
47410, 258649
47430, 284060
47450, 221800
47470, 251002
47490, 278908
47510, 241925
47530, 283820
47550, 253687
47570, 291473
47590, 264485
47610, 266056
47630, 267835
47650, 282002
47670, 247722
47690, 262844
47710, 279607
47730, 277137
47750, 299231
47770, 254840
47790, 272000
47810, 256996
47830, 240494
47850, 319590
47870, 265052
47890, 306587
47910, 240936
47930, 242682
47950, 240138
47970, 233253
47990, 272791
48010, 280321
48030, 264140
48050, 234906
48070, 269677
48090, 319971
48110, 253343
48130, 275427
48150, 308898
48170, 304644
48190, 244061
48210, 243949
48230, 255812
48250, 281691
48270, 293487
48290, 317222
48310, 251640
48330, 272639
48350, 317847
48370, 249808
48390, 246752
48410, 285088
48430, 241620
48450, 383897
48470, 303900
48490, 278383
48510, 246627
48530, 268848
48550, 238272
48570, 257398
48590, 261539
48610, 237972
48630, 323220
48650, 237275
48670, 272987
48690, 237438
48710, 279693
48730, 254527
48750, 305402
48770, 239039
48790, 280544
48810, 286384
48830, 258246
48850, 278161
48870, 306025
48890, 266762
48910, 281362
48930, 232183
48950, 234730
48970, 295913
48990, 264305
49010, 261237
49030, 281463
49050, 304013
49070, 257398
49090, 246113
49110, 291075
49130, 253483
49150, 251239
49170, 283588
49190, 279495
49210, 252643
49230, 305770
49250, 299462
49270, 276611
49290, 319470
49310, 288735
49330, 282392
49350, 251936
49370, 277089
49390, 287059
49410, 259791
49430, 311579
49450, 312074
49470, 255936
49490, 334310
49510, 287602
49530, 266509
49550, 243985
49570, 344998
49590, 257700
49610, 302947
49630, 284194
49650, 349935
49670, 320600
49690, 350587
49710, 255372
49730, 294069
49750, 299310
49770, 283574
49790, 247755
49810, 244261
49830, 255477
49850, 254892
49870, 273584
49890, 235393
49910, 288816
49930, 254289
49950, 275588
49970, 303367
49990, 258456
50010, 298221
50030, 275683
50050, 239999
50070, 260802
50090, 277294
50110, 285954
50130, 246985
50150, 353812
50170, 249259
50190, 300625
50210, 310068
50230, 261337
50250, 265336
50270, 253158
50290, 314293
50310, 338388
50330, 259832
50350, 289402
50370, 263975
50390, 304031
50410, 374255
50430, 279565
50450, 266398
50470, 307402
50490, 263326
50510, 333385
50530, 288604
50550, 267876
50570, 274037
50590, 313530
50610, 272151
50630, 261771
50650, 281753
50670, 388656
50690, 264614
50710, 271752
50730, 354452
50750, 311436
50770, 281725
50790, 312920
50810, 288688
50830, 270219
50850, 258431
50870, 297889
50890, 279021
50910, 245771
50930, 345534
50950, 267034
50970, 257125
50990, 340051
51010, 303027
51030, 269334
51050, 253681
51070, 280904
51090, 270251
51110, 300809
51130, 255815
51150, 267080
51170, 290615
51190, 268789
51210, 321552
51230, 300743
51250, 243920
51270, 289241
51290, 247501
51310, 292074
51330, 316878
51350, 287024
51370, 245377
51390, 291091
51410, 332961
51430, 307048
51450, 433736
51470, 323524
51490, 297608
51510, 262064
51530, 275381
51550, 289338
51570, 261653
51590, 252509
51610, 292242
51630, 277501
51650, 287682
51670, 291998
51690, 304910
51710, 300520
51730, 290327
51750, 280874
51770, 343947
51790, 320260
51810, 257987
51830, 299345
51850, 250827
51870, 322171
51890, 273419
51910, 323761
51930, 303657
51950, 310840
51970, 283646
51990, 278285
52010, 335252
52030, 278177
52050, 288356
52070, 312980
52090, 312440
52110, 296179
52130, 324987
52150, 303201
52170, 312541
52190, 281195
52210, 374930
52230, 354781
52250, 302017
52270, 249579
52290, 362065
52310, 335842
52330, 289643
52350, 272809
52370, 301377
52390, 292368
52410, 303521
52430, 308699
52450, 284264
52470, 300998
52490, 307457
52510, 267349
52530, 281065
52550, 374629
52570, 265331
52590, 344512
52610, 291287
52630, 283659
52650, 387345
52670, 289716
52690, 304778
52710, 312266
52730, 325220
52750, 319143
52770, 298932
52790, 307050
52810, 284941
52830, 298390
52850, 296924
52870, 296914
52890, 372636
52910, 345595
52930, 336943
52950, 294669
52970, 312644
52990, 345916
53010, 303187
53030, 269344
53050, 280310
53070, 268602
53090, 306910
53110, 345761
53130, 347484
53150, 279761
53170, 383073
53190, 267380
53210, 291406
53230, 371768
53250, 378977
53270, 262036
53290, 297903
53310, 276584
53330, 320112
53350, 304952
53370, 298019
53390, 313364
53410, 310514
53430, 304337
53450, 382913
53470, 314311
53490, 301015
53510, 262707
53530, 338515
53550, 346453
53570, 369706
53590, 288896
53610, 288169
53630, 277248
53650, 257050
53670, 284722
53690, 286786
53710, 330971
53730, 302335
53750, 284232
53770, 353160
53790, 308595
53810, 297389
53830, 330047
53850, 306864
53870, 335438
53890, 370657
53910, 280061
53930, 301684
53950, 359440
53970, 299438
53990, 318972
54010, 267583
54030, 295114
54050, 326174
54070, 317506
54090, 295661
54110, 299646
54130, 270372
54150, 299567
54170, 270754
54190, 298482
54210, 322111
54230, 294232
54250, 309656
54270, 337154
54290, 300218
54310, 356232
54330, 409349
54350, 317745
54370, 331647
54390, 311228
54410, 323312
54430, 278960
54450, 322161
54470, 295308
54490, 302717
54510, 319063
54530, 300709
54550, 354873
54570, 277434
54590, 303289
54610, 316997
54630, 293417
54650, 330923
54670, 296670
54690, 378417
54710, 322910
54730, 283076
54750, 335090
54770, 304781
54790, 342919
54810, 328274
54830, 373039
54850, 283183
54870, 291021
54890, 337820
54910, 279003
54930, 297332
54950, 284061
54970, 307308
54990, 321215
55010, 333772
55030, 285061
55050, 325474
55070, 316482
55090, 337172
55110, 295839
55130, 306129
55150, 312958
55170, 291373
55190, 297175
55210, 292161
55230, 303147
55250, 275152
55270, 307680
55290, 312427
55310, 392566
55330, 317024
55350, 452637
55370, 328024
55390, 281687
55410, 313873
55430, 302721
55450, 336956
55470, 270055
55490, 327252
55510, 302573
55530, 291742
55550, 348931
55570, 330699
55590, 352980
55610, 266878
55630, 305488
55650, 283753
55670, 289833
55690, 394335
55710, 365346
55730, 344188
55750, 368428
55770, 309655
55790, 319628
55810, 332050
55830, 309937
55850, 316478
55870, 362356
55890, 335156
55910, 299982
55930, 354922
55950, 355040
55970, 398811
55990, 275971
56010, 283798
56030, 347126
56050, 418724
56070, 336943
56090, 333926
56110, 296889
56130, 392615
56150, 304370
56170, 289454
56190, 317435
56210, 315068
56230, 292100
56250, 409545
56270, 312118
56290, 312837
56310, 276194
56330, 279562
56350, 297112
56370, 377806
56390, 281750
56410, 308123
56430, 319633
56450, 360753
56470, 279556
56490, 299340
56510, 327478
56530, 343985
56550, 376558
56570, 303212
56590, 272835
56610, 324330
56630, 297404
56650, 296583
56670, 339038
56690, 353245
56710, 443980
56730, 358597
56750, 347903
56770, 291448
56790, 302200
56810, 408110
56830, 304377
56850, 358048
56870, 304217
56890, 314222
56910, 322617
56930, 385761
56950, 286089
56970, 333528
56990, 326032
57010, 326442
57030, 276125
57050, 364683
57070, 320556
57090, 331776
57110, 303962
57130, 349027
57150, 341112
57170, 410459
57190, 431223
57210, 368755
57230, 298990
57250, 268959
57270, 285119
57290, 325700
57310, 315028
57330, 362900
57350, 368512
57370, 331360
57390, 293898
57410, 399220
57430, 396564
57450, 402556
57470, 281073
57490, 278240
57510, 316276
57530, 370770
57550, 345204
57570, 322935
57590, 292746
57610, 269452
57630, 331521
57650, 394346
57670, 387993
57690, 308201
57710, 301127
57730, 320375
57750, 307945
57770, 337523
57790, 298771
57810, 328339
57830, 384099
57850, 316882
57870, 320297
57890, 343259
57910, 268601
57930, 368356
57950, 366637
57970, 446745
57990, 335881
58010, 302865
58030, 388202
58050, 322223
58070, 385386
58090, 323139
58110, 284200
58130, 391702
58150, 319940
58170, 298743
58190, 392539
58210, 347580
58230, 286420
58250, 296247
58270, 311172
58290, 346510
58310, 339502
58330, 325320
58350, 316635
58370, 366431
58390, 376768
58410, 366595
58430, 337146
58450, 327022
58470, 337569
58490, 327541
58510, 358074
58530, 318761
58550, 339934
58570, 292431
58590, 299206
58610, 352613
58630, 300172
58650, 391841
58670, 368291
58690, 366229
58710, 335695
58730, 341299
58750, 289393
58770, 341316
58790, 350013
58810, 325641
58830, 436663
58850, 311325
58870, 271445
58890, 329726
58910, 404686
58930, 336584
58950, 340910
58970, 318670
58990, 508084
59010, 329163
59030, 332982
59050, 332308
59070, 321763
59090, 303382
59110, 355308
59130, 301432
59150, 417032
59170, 382316
59190, 368722
59210, 360681
59230, 305927
59250, 287831
59270, 315045
59290, 345991
59310, 309644
59330, 417557
59350, 348371
59370, 342906
59390, 339494
59410, 581726
59430, 308006
59450, 399004
59470, 392249
59490, 386892
59510, 338847
59530, 321440
59550, 388116
59570, 314558
59590, 354546
59610, 309988
59630, 341029
59650, 380939
59670, 373902
59690, 357755
59710, 325530
59730, 329597
59750, 324010
59770, 348128
59790, 308489
59810, 316704
59830, 420008
59850, 307610
59870, 347241
59890, 340993
59910, 370909
59930, 316204
59950, 361186
59970, 342064
59990, 329548
60010, 340961
60030, 285330
60050, 409378
60070, 364279
60090, 337219
60110, 355202
60130, 336606
60150, 357732
60170, 429485
60190, 324531
60210, 332607
60230, 399701
60250, 340261
60270, 341999
60290, 315073
60310, 302665
60330, 327919
60350, 364259
60370, 297322
60390, 334863
60410, 365944
60430, 359929
60450, 286876
60470, 322236
60490, 331656
60510, 392823
60530, 349796
60550, 298682
60570, 335808
60590, 454458
60610, 394910
60630, 353938
60650, 335757
60670, 418611
60690, 286596
60710, 301982
60730, 344424
60750, 323949
60770, 343385
60790, 342319
60810, 360786
60830, 303094
60850, 295115
60870, 429875
60890, 353689
60910, 355906
60930, 305791
60950, 347554
60970, 307604
60990, 324102
61010, 314390
61030, 369137
61050, 319838
61070, 351287
61090, 366367
61110, 364427
61130, 508270
61150, 348178
61170, 334662
61190, 399746
61210, 358545
61230, 327350
61250, 304618
61270, 302699
61290, 378227
61310, 332186
61330, 376674
61350, 407680
61370, 346928
61390, 340078
61410, 371098
61430, 391034
61450, 392259
61470, 348880
61490, 328196
61510, 342764
61530, 405051
61550, 333705
61570, 336743
61590, 398516
61610, 463049
61630, 341753
61650, 378512
61670, 332238
61690, 375609
61710, 331444
61730, 346398
61750, 339798
61770, 326149
61790, 392757
61810, 340865
61830, 362649
61850, 338954
61870, 362172
61890, 410731
61910, 340866
61930, 378671
61950, 337003
61970, 339098
61990, 346898
62010, 354653
62030, 343233
62050, 457937
62070, 349061
62090, 389837
62110, 342572
62130, 368596
62150, 365958
62170, 454137
62190, 333707
62210, 358459
62230, 355606
62250, 367382
62270, 327682
62290, 351802
62310, 384390
62330, 298297
62350, 350212
62370, 323858
62390, 500076
62410, 348631
62430, 363841
62450, 409587
62470, 318728
62490, 327897
62510, 437680
62530, 297431
62550, 356413
62570, 318470
62590, 340393
62610, 353661
62630, 438768
62650, 358590
62670, 399598
62690, 393075
62710, 511381
62730, 315148
62750, 446095
62770, 305800
62790, 336669
62810, 363012
62830, 365228
62850, 430905
62870, 317261
62890, 361464
62910, 336597
62930, 352296
62950, 409633
62970, 376594
62990, 360828
63010, 412059
63030, 377257
63050, 326241
63070, 329950
63090, 357698
63110, 357194
63130, 410773
63150, 347468
63170, 350145
63190, 387425
63210, 332957
63230, 435255
63250, 428000
63270, 324698
63290, 353633
63310, 383686
63330, 316719
63350, 318684
63370, 334920
63390, 358882
63410, 377445
63430, 323309
63450, 518814
63470, 328441
63490, 365845
63510, 359525
63530, 501663
63550, 319125
63570, 304460
63590, 366767
63610, 330997
63630, 329908
63650, 363037
63670, 344209
63690, 379949
63710, 388877
63730, 303480
63750, 393360
63770, 379812
63790, 359790
63810, 389512
63830, 338569
63850, 381260
63870, 431875
63890, 334794
63910, 326019
63930, 354660
63950, 363021
63970, 342197
63990, 397137
64010, 326801
64030, 420902
64050, 363037
64070, 345456
64090, 403150
64110, 341108
64130, 337720
64150, 347883
64170, 378718
64190, 386299
64210, 300380
64230, 386601
64250, 346999
64270, 343128
64290, 395980
64310, 365688
64330, 351596
64350, 368814
64370, 410171
64390, 379698
64410, 385030
64430, 411383
64450, 364787
64470, 347535
64490, 370277
64510, 430525
64530, 339775
64550, 327798
64570, 379685
64590, 444369
64610, 307697
64630, 381123
64650, 490949
64670, 413730
64690, 424808
64710, 402088
64730, 371626
64750, 406696
64770, 345279
64790, 379829
64810, 372215
64830, 387141
64850, 499585
64870, 325800
64890, 347386
64910, 388400
64930, 305531
64950, 335350
64970, 423650
64990, 410370
65010, 321066
65030, 401507
65050, 369543
65070, 391145
65090, 375030
65110, 355046
65130, 336337
65150, 341411
65170, 395103
65190, 334034
65210, 502715
65230, 370452
65250, 327390
65270, 347797
65290, 327810
65310, 377530
65330, 392981
65350, 338957
65370, 368931
65390, 317792
65410, 357278
65430, 390483
65450, 400693
65470, 329857
65490, 376294
65510, 398689
65530, 394669
65550, 346513
65570, 409832
65590, 343178
65610, 349522
65630, 350336
65650, 378702
65670, 340095
65690, 359940
65710, 425588
65730, 392313
65750, 438166
65770, 389586
65790, 347483
65810, 374309
65830, 429250
65850, 370211
65870, 392917
65890, 363336
65910, 381993
65930, 312452
65950, 353918
65970, 342806
65990, 516973
66010, 472143
66030, 376617
66050, 456521
66070, 403834
66090, 343606
66110, 359320
66130, 442688
66150, 445336
66170, 385695
66190, 388465
66210, 377875
66230, 388428
66250, 343822
66270, 404560
66290, 395641
66310, 390538
66330, 315344
66350, 379494
66370, 374263
66390, 358812
66410, 394957
66430, 382901
66450, 327963
66470, 350665
66490, 467378
66510, 410791
66530, 372167
66550, 329997
66570, 389767
66590, 358144
66610, 361619
66630, 382041
66650, 317945
66670, 322445
66690, 385512
66710, 418180
66730, 337355
66750, 425074
66770, 439313
66790, 400735
66810, 359397
66830, 459878
66850, 384316
66870, 374165
66890, 379206
66910, 355667
66930, 398444
66950, 385311
66970, 389632
66990, 356410
67010, 378280
67030, 383075
67050, 429173
67070, 345421
67090, 358466
67110, 435208
67130, 389201
67150, 348761
67170, 376807
67190, 387302
67210, 361765
67230, 453192
67250, 430534
67270, 384619
67290, 352254
67310, 359245
67330, 409289
67350, 399261
67370, 458741
67390, 361431
67410, 437497
67430, 362743
