n, m
67450, 432672
67470, 373387
67490, 374106
67510, 434436
67530, 420305
67550, 337916
67570, 351511
67590, 363506
67610, 377465
67630, 407645
67650, 412331
67670, 444935
67690, 375923
67710, 328098
67730, 340437
67750, 510632
67770, 344010
67790, 402224
67810, 429281
67830, 414597
67850, 395260
67870, 370720
67890, 426462
67910, 371370
67930, 361009
67950, 390318
67970, 388796
67990, 407254
68010, 425230
68030, 409333
68050, 386777
68070, 358767
68090, 407145
68110, 327303
68130, 435312
68150, 356125
68170, 357342
68190, 439891
68210, 364307
68230, 436884
68250, 355102
68270, 399806
68290, 366017
68310, 455344
68330, 354266
68350, 388515
68370, 348501
68390, 404581
68410, 400979
68430, 354653
68450, 425652
68470, 344933
68490, 385241
68510, 519830
68530, 357279
68550, 418990
68570, 403527
68590, 343093
68610, 378365
68630, 409380
68650, 364848
68670, 380605
68690, 381759
68710, 506564
68730, 378981
68750, 381438
68770, 396632
68790, 395426
68810, 418980
68830, 466385
68850, 339191
68870, 455904
68890, 536118
68910, 401229
68930, 389875
68950, 360917
68970, 373298
68990, 426453
69010, 384479
69030, 440671
69050, 491200
69070, 360560
69090, 367763
69110, 414710
69130, 422078
69150, 374350
69170, 430843
69190, 421386
69210, 414295
69230, 374473
69250, 416458
69270, 346098
69290, 350573
69310, 393328
69330, 471581
69350, 372399
69370, 401575
69390, 433264
69410, 418246
69430, 383053
69450, 376002
69470, 370066
69490, 390937
69510, 461946
69530, 374708
69550, 435779
69570, 413245
69590, 389124
69610, 438214
69630, 372855
69650, 426750
69670, 430838
69690, 423317
69710, 420533
69730, 435884
69750, 536652
69770, 400777
69790, 424225
69810, 393679
69830, 401023
69850, 404798
69870, 393511
69890, 385096
69910, 406712
69930, 373293
69950, 424194
69970, 374362
69990, 450778
70010, 451309
70030, 409408
70050, 379436
70070, 425878
70090, 437082
70110, 363184
70130, 417468
70150, 430256
70170, 402346
70190, 423214
70210, 386934
70230, 390928
70250, 333526
70270, 389747
70290, 371960
70310, 399043
70330, 516966
70350, 405745
70370, 438993
70390, 424994
70410, 443214
70430, 395584
70450, 387482
70470, 389262
70490, 439011
70510, 449345
70530, 443723
70550, 388414
70570, 441246
70590, 449301
70610, 386050
70630, 436019
70650, 459600
70670, 503156
70690, 423259
70710, 439168
70730, 428473
70750, 380739
70770, 363199
70790, 396901
70810, 420335
70830, 585341
70850, 369163
70870, 364106
70890, 404493
70910, 398787
70930, 407327
70950, 429390
70970, 453043
70990, 375389
71010, 442996
71030, 403612
71050, 404751
71070, 404350
71090, 401727
71110, 400391
71130, 408682
71150, 533771
71170, 376525
71190, 454199
71210, 406059
71230, 417833
71250, 446607
71270, 429817
71290, 435893
71310, 421251
71330, 401652
71350, 433714
71370, 514552
71390, 376308
71410, 406068
71430, 360314
71450, 469388
71470, 415523
71490, 382183
71510, 451047
71530, 489442
71550, 432027
71570, 439576
71590, 459391
71610, 407064
71630, 335913
71650, 394212
71670, 409392
71690, 411494
71710, 365893
71730, 425482
71750, 374281
71770, 582480
71790, 426027
71810, 424607
71830, 532022
71850, 436642
71870, 440646
71890, 362957
71910, 462511
71930, 336735
71950, 423074
71970, 415727
71990, 384497
72010, 409205
72030, 390972
72050, 385312
72070, 541138
72090, 409954
72110, 389570
72130, 467948
72150, 370833
72170, 408020
72190, 372682
72210, 491211
72230, 461773
72250, 395122
72270, 409037
72290, 374825
72310, 708550
72330, 370844
72350, 400457
72370, 453768
72390, 410062
72410, 463202
72430, 492173
72450, 424355
72470, 415286
72490, 403121
72510, 458233
72530, 545627
72550, 396572
72570, 359672
72590, 440629
72610, 392473
72630, 425038
72650, 384290
72670, 381475
72690, 417736
72710, 403065
72730, 362212
72750, 448424
72770, 475909
72790, 447667
72810, 426638
72830, 361646
72850, 425041
72870, 420440
72890, 385227
72910, 653182
72930, 460024
72950, 367321
72970, 400039
72990, 400034
73010, 490863
73030, 415376
73050, 391390
73070, 405077
73090, 441327
73110, 405213
73130, 549883
73150, 393677
73170, 408145
73190, 469476
73210, 419754
73230, 385594
73250, 449205
73270, 440197
73290, 443504
73310, 402095
73330, 386844
73350, 416411
73370, 484613
73390, 421193
73410, 428554
73430, 379843
73450, 391265
73470, 362003
73490, 432591
73510, 552403
73530, 443163
73550, 472521
73570, 362804
73590, 403117
73610, 451189
73630, 368346
73650, 437403
73670, 458877
73690, 405689
73710, 410233
73730, 483137
73750, 428828
73770, 415992
73790, 487090
73810, 401112
73830, 479096
73850, 397529
73870, 435913
73890, 500286
73910, 392324
73930, 420556
73950, 429054
73970, 499751
73990, 410310
74010, 372907
74030, 423670
74050, 420477
74070, 428884
74090, 416952
74110, 431282
74130, 412773
74150, 439190
74170, 437130
74190, 425296
74210, 480590
74230, 466792
74250, 412108
74270, 392314
74290, 375094
74310, 588411
74330, 416985
74350, 501957
74370, 386128
74390, 412255
74410, 430703
74430, 371080
74450, 395440
74470, 381599
74490, 637020
74510, 448616
74530, 462003
74550, 405780
74570, 450542
74590, 447508
74610, 481876
74630, 394475
74650, 371323
74670, 433843
74690, 522264
74710, 443064
74730, 394089
74750, 439186
74770, 462683
74790, 429933
74810, 423645
74830, 641262
74850, 411352
74870, 429613
74890, 485804
74910, 420701
74930, 494030
74950, 410129
74970, 420767
74990, 467060
75010, 476148
75030, 471112
75050, 443491
75070, 432509
75090, 526612
75110, 421194
75130, 458490
75150, 438000
75170, 436781
75190, 427355
75210, 433149
75230, 418047
75250, 448049
75270, 458211
75290, 411399
75310, 394074
75330, 433560
75350, 465358
75370, 450132
75390, 511761
75410, 400684
75430, 463343
75450, 437325
75470, 501309
75490, 506910
75510, 475054
75530, 390997
75550, 450198
75570, 456132
75590, 433572
75610, 393643
75630, 401451
75650, 504540
75670, 442825
75690, 402944
75710, 526085
75730, 470941
75750, 458386
75770, 398208
75790, 502679
75810, 456816
75830, 421171
75850, 425919
75870, 446052
75890, 413308
75910, 405990
75930, 386755
75950, 465811
75970, 523547
75990, 380608
76010, 393717
76030, 439483
76050, 470897
76070, 489236
76090, 399519
76110, 400883
76130, 512468
76150, 498888
76170, 372058
76190, 376249
76210, 451889
76230, 482210
76250, 529853
76270, 465644
76290, 567088
76310, 440348
76330, 410565
76350, 392478
76370, 436017
76390, 397602
76410, 563252
76430, 390659
76450, 464442
76470, 406648
76490, 406462
76510, 580852
76530, 519025
76550, 392598
76570, 387545
76590, 441498
76610, 423519
76630, 477027
76650, 456266
76670, 453907
76690, 560945
76710, 437930
76730, 508700
76750, 527939
76770, 472219
76790, 489391
76810, 384652
76830, 416437
76850, 446032
76870, 480326
76890, 374628
76910, 476182
76930, 394689
76950, 436944
76970, 490357
76990, 492286
77010, 431051
77030, 542050
77050, 452297
77070, 443236
77090, 409232
77110, 486950
77130, 500772
77150, 554895
77170, 495906
77190, 405459
77210, 409360
77230, 494388
77250, 464609
77270, 450249
77290, 448198
77310, 449836
77330, 451297
77350, 526501
77370, 418723
77390, 486711
77410, 477010
77430, 420166
77450, 458854
77470, 504151
77490, 429876
77510, 505241
77530, 460258
77550, 515544
77570, 444119
77590, 395979
77610, 421164
77630, 446161
77650, 428875
77670, 443670
77690, 456191
77710, 406053
77730, 384848
77750, 406237
77770, 493173
77790, 476353
77810, 436887
77830, 462247
77850, 374896
77870, 452763
77890, 447040
77910, 421546
77930, 422344
77950, 398676
77970, 411688
77990, 504965
78010, 446214
78030, 432100
78050, 487576
78070, 436656
78090, 406621
78110, 386524
78130, 417505
78150, 475551
78170, 434282
78190, 553268
78210, 488406
78230, 486515
78250, 455587
78270, 409249
78290, 413775
78310, 407343
78330, 448459
78350, 452898
78370, 589967
78390, 516767
78410, 521159
78430, 506649
78450, 417908
78470, 416107
78490, 501872
78510, 399437
78530, 470532
78550, 423088
78570, 540985
78590, 408110
78610, 440816
78630, 435125
78650, 441276
78670, 445099
78690, 481114
78710, 454104
78730, 456114
78750, 428758
78770, 413632
78790, 504580
78810, 448674
78830, 445314
78850, 447976
78870, 412917
78890, 453440
78910, 402625
78930, 507975
78950, 424120
78970, 467426
78990, 493209
79010, 397848
79030, 490160
79050, 442673
79070, 384540
79090, 444157
79110, 575893
79130, 415899
79150, 485156
79170, 450938
79190, 450162
79210, 435161
79230, 621597
79250, 387725
79270, 430982
79290, 469092
79310, 544563
79330, 526549
79350, 433453
79370, 413177
79390, 485436
79410, 435679
79430, 428798
79450, 496169
79470, 389579
79490, 453377
79510, 530435
79530, 570401
79550, 489498
79570, 459595
79590, 506627
79610, 443821
79630, 490291
79650, 466820
79670, 508059
79690, 445803
79710, 513291
79730, 538467
79750, 428549
79770, 474406
79790, 434013
79810, 446013
79830, 428849
79850, 444432
79870, 505880
79890, 483173
79910, 560598
79930, 499239
79950, 411688
79970, 502291
79990, 531635
80010, 505160
80030, 494844
80050, 443059
80070, 429111
80090, 410911
80110, 468021
80130, 460439
80150, 462438
80170, 421975
80190, 500524
80210, 477630
80230, 424412
80250, 413487
80270, 554349
80290, 454624
80310, 415145
80330, 498015
80350, 427889
80370, 472276
80390, 554048
80410, 447315
80430, 491199
80450, 433236
80470, 453874
80490, 439760
80510, 565435
80530, 507687
80550, 500882
80570, 715503
80590, 431741
80610, 475921
80630, 502542
80650, 449194
80670, 551648
80690, 447671
80710, 408441
80730, 440949
80750, 459720
80770, 542067
80790, 505173
80810, 505819
80830, 420007
80850, 462550
80870, 462408
80890, 455174
80910, 608403
80930, 460361
80950, 453296
80970, 461312
80990, 491863
81010, 491021
81030, 517352
81050, 445350
81070, 453092
81090, 435733
81110, 456512
81130, 444655
81150, 394114
81170, 413124
81190, 478291
81210, 492930
81230, 559614
81250, 440485
81270, 512351
81290, 570819
81310, 495688
81330, 479722
81350, 470917
81370, 486640
81390, 477078
81410, 442883
81430, 510025
81450, 407778
81470, 514676
81490, 447508
81510, 471973
81530, 402847
81550, 480235
81570, 473635
81590, 515426
81610, 451703
81630, 435977
81650, 499161
81670, 503943
81690, 459641
81710, 494212
81730, 431318
81750, 456101
81770, 510056
81790, 462436
81810, 478037
81830, 466318
81850, 566740
81870, 437948
81890, 496709
81910, 558012
81930, 476900
81950, 444932
81970, 444553
81990, 612845
82010, 418638
82030, 518678
82050, 485509
82070, 507057
82090, 405099
82110, 472043
82130, 467843
82150, 456694
82170, 518445
82190, 603708
82210, 436726
82230, 548377
82250, 467822
82270, 639582
82290, 512715
82310, 520171
82330, 451991
82350, 451735
82370, 452758
82390, 434210
82410, 532341
82430, 472581
82450, 426364
82470, 475518
82490, 463778
82510, 624608
82530, 522836
82550, 524141
82570, 482429
82590, 535263
82610, 486597
82630, 673016
82650, 477952
82670, 482083
82690, 544081
82710, 410973
82730, 434602
82750, 454030
82770, 488083
82790, 586643
82810, 531231
82830, 489531
82850, 412996
82870, 522660
82890, 452820
82910, 513177
82930, 495881
82950, 450634
82970, 446601
82990, 459221
83010, 454804
83030, 466992
83050, 452619
83070, 439332
83090, 504678
83110, 427288
83130, 479582
83150, 452671
83170, 494585
83190, 564085
83210, 471493
83230, 569798
83250, 524723
83270, 450124
83290, 426763
83310, 510405
83330, 495743
83350, 468860
83370, 520281
83390, 538150
83410, 675332
83430, 525122
83450, 478014
83470, 501259
83490, 477796
83510, 439227
83530, 451772
83550, 462791
83570, 709325
83590, 604950
83610, 587685
83630, 472796
83650, 476637
83670, 476396
83690, 486722
83710, 588583
83730, 624228
83750, 497296
83770, 464497
83790, 481493
83810, 502900
83830, 453220
83850, 556031
83870, 572203
83890, 578743
83910, 499785
83930, 546760
83950, 453334
83970, 544420
83990, 651486
84010, 485214
84030, 567705
84050, 605868
84070, 510689
84090, 714510
84110, 512741
84130, 527684
84150, 440676
84170, 468185
84190, 473040
84210, 451775
84230, 563930
84250, 472725
84270, 507947
84290, 504467
84310, 483690
84330, 444475
84350, 482175
84370, 532253
84390, 513564
84410, 625129
84430, 480022
84450, 633935
84470, 528119
84490, 409005
84510, 461230
84530, 545520
84550, 412757
84570, 565361
84590, 432532
84610, 560538
84630, 472361
84650, 436504
84670, 532188
84690, 531463
84710, 514422
84730, 546552
84750, 505871
84770, 520268
84790, 535709
84810, 442208
84830, 487793
84850, 517530
84870, 486063
84890, 538241
84910, 500732
84930, 618263
84950, 455178
84970, 516805
84990, 558592
85010, 515940
85030, 471133
85050, 512253
85070, 531932
85090, 573951
85110, 536983
85130, 543193
85150, 533817
85170, 534559
85190, 457530
85210, 574430
85230, 565222
85250, 560669
85270, 470910
85290, 441454
85310, 494457
85330, 466620
85350, 462488
85370, 486962
85390, 517627
85410, 490597
85430, 488267
85450, 470676
85470, 486823
85490, 578866
85510, 520848
85530, 528981
85550, 504343
85570, 583041
85590, 605817
85610, 510631
85630, 563076
85650, 511006
85670, 451420
85690, 651841
85710, 437326
85730, 455467
85750, 513010
85770, 548446
85790, 624525
85810, 509009
85830, 486425
85850, 506330
85870, 522197
85890, 507191
85910, 473422
85930, 530775
85950, 454536
85970, 540104
85990, 517307
86010, 469221
86030, 520568
86050, 461555
86070, 487663
86090, 513299
86110, 453569
86130, 456011
86150, 454940
86170, 515775
86190, 479873
86210, 565615
86230, 581615
86250, 555772
86270, 493664
86290, 474091
86310, 495871
86330, 555735
86350, 574465
86370, 521134
86390, 516940
86410, 442911
86430, 532143
86450, 452337
86470, 554712
86490, 509544
86510, 468859
86530, 448272
86550, 451341
86570, 508094
86590, 446291
86610, 494582
86630, 483356
86650, 476085
86670, 549398
86690, 542517
86710, 482652
86730, 527171
86750, 653642
86770, 571051
86790, 567299
86810, 508139
86830, 533291
86850, 456633
86870, 492380
86890, 522770
86910, 507054
86930, 550932
86950, 522709
86970, 551122
86990, 452134
87010, 513214
87030, 498614
87050, 486499
87070, 569469
87090, 506974
87110, 526156
87130, 451247
87150, 490705
87170, 495081
87190, 527659
87210, 535442
87230, 557156
87250, 502425
87270, 462076
87290, 504086
87310, 533703
87330, 663817
87350, 531470
87370, 531449
87390, 429573
87410, 515630
87430, 488511
87450, 497864
87470, 522638
87490, 450920
87510, 602058
87530, 518841
87550, 491283
87570, 529930
87590, 508977
87610, 527248
87630, 489677
87650, 522864
87670, 691305
87690, 620971
87710, 499638
87730, 624662
87750, 508917
87770, 473198
87790, 645840
87810, 454337
87830, 548979
87850, 510955
87870, 551858
87890, 575850
87910, 447207
87930, 559478
87950, 438731
87970, 547231
87990, 469443
88010, 585221
88030, 478332
88050, 518167
88070, 475934
88090, 529965
88110, 497128
88130, 478494
88150, 484759
88170, 454230
88190, 487663
88210, 525170
88230, 580755
88250, 505775
88270, 466022
88290, 537553
88310, 575042
88330, 497463
88350, 673751
88370, 552232
88390, 513032
88410, 499065
88430, 527215
88450, 586905
88470, 523650
88490, 441614
88510, 553988
88530, 491565
88550, 598853
88570, 508682
88590, 574473
88610, 510973
88630, 535406
88650, 473302
88670, 541129
88690, 508869
88710, 605384
88730, 554197
88750, 551647
88770, 696012
88790, 498433
88810, 682528
88830, 511925
88850, 558015
88870, 599856
88890, 605160
88910, 482507
88930, 521135
88950, 527618
88970, 515252
88990, 605793
89010, 676148
89030, 568225
89050, 498844
89070, 453267
89090, 534104
89110, 537351
89130, 547147
89150, 570998
89170, 567880
89190, 469984
89210, 590894
89230, 501232
89250, 724159
89270, 452954
89290, 517178
89310, 527152
89330, 506676
89350, 491430
89370, 517864
89390, 507205
89410, 542513
89430, 509837
89450, 521914
89470, 478934
89490, 506053
89510, 490917
89530, 516617
89550, 567600
89570, 475230
89590, 517434
89610, 573004
89630, 541242
89650, 553968
89670, 488482
89690, 592553
89710, 456292
89730, 499497
89750, 510136
89770, 554815
89790, 568919
89810, 546565
89830, 484883
89850, 509276
89870, 550420
89890, 555949
89910, 554610
89930, 530268
89950, 445552
89970, 695255
89990, 511653
90010, 503037
90030, 536938
90050, 573527
90070, 491266
90090, 585976
90110, 582125
90130, 525269
90150, 591338
90170, 543943
90190, 498357
90210, 601945
90230, 567105
90250, 579281
90270, 464729
90290, 615251
90310, 527880
90330, 655575
90350, 482869
90370, 514233
90390, 500320
90410, 477723
90430, 566574
90450, 501774
90470, 467217
90490, 561482
90510, 497696
90530, 610581
90550, 487772
90570, 571435
90590, 638974
90610, 655275
90630, 505660
90650, 519102
90670, 616478
90690, 666353
90710, 513332
90730, 471964
90750, 484611
90770, 505855
90790, 483005
90810, 478582
90830, 492946
90850, 668392
90870, 568860
90890, 538152
90910, 539835
90930, 514613
90950, 559643
90970, 537758
90990, 447704
91010, 472273
91030, 488335
91050, 526332
91070, 488723
91090, 480632
91110, 539227
91130, 487307
91150, 495294
91170, 515354
91190, 534948
91210, 573566
91230, 519054
91250, 581013
91270, 475384
91290, 613658
91310, 626706
91330, 577795
91350, 481858
91370, 539050
91390, 488300
91410, 706731
91430, 461119
91450, 521460
91470, 633527
91490, 547698
91510, 494678
91530, 533513
91550, 522488
91570, 562020
91590, 598808
91610, 605022
91630, 555679
91650, 522493
91670, 454722
91690, 575063
91710, 570230
91730, 551627
91750, 513628
91770, 535533
91790, 509467
91810, 444969
91830, 508588
91850, 543765
91870, 566109
91890, 661834
91910, 503407
91930, 485612
91950, 475644
91970, 544968
91990, 583042
92010, 547818
92030, 618234
92050, 520367
92070, 561952
92090, 547360
92110, 878707
92130, 775593
92150, 550654
92170, 598428
92190, 503281
92210, 572634
92230, 660134
92250, 628307
92270, 577990
92290, 513708
92310, 478533
92330, 465009
92350, 607228
92370, 615131
92390, 541054
92410, 573499
92430, 600072
92450, 477176
92470, 587062
92490, 552972
92510, 473560
92530, 516802
92550, 483727
92570, 538283
92590, 613150
92610, 581750
92630, 586456
92650, 581845
92670, 660576
92690, 530207
92710, 549631
92730, 544387
92750, 511880
92770, 538664
92790, 519876
92810, 508290
92830, 506787
92850, 498433
92870, 601806
92890, 502777
92910, 602628
92930, 602787
92950, 488874
92970, 605967
92990, 671063
93010, 628418
93030, 518522
93050, 605491
93070, 561998
93090, 571855
93110, 478871
93130, 531861
93150, 692184
93170, 512356
93190, 541047
93210, 476639
93230, 518509
93250, 588679
93270, 535768
93290, 487862
93310, 514092
93330, 613654
93350, 496614
93370, 574529
93390, 561802
93410, 490151
93430, 589454
93450, 571168
93470, 504304
93490, 640948
93510, 608151
93530, 555028
93550, 471500
93570, 522545
93590, 564475
93610, 621976
93630, 570373
93650, 576615
93670, 534347
93690, 554987
93710, 698869
93730, 560972
93750, 660564
93770, 488749
93790, 471263
93810, 693126
93830, 551277
93850, 660320
93870, 631723
93890, 477121
93910, 578587
93930, 694710
93950, 503433
93970, 481410
93990, 532230
94010, 475264
94030, 612301
94050, 517478
94070, 479105
94090, 617520
94110, 569374
94130, 572518
94150, 667103
94170, 655833
94190, 543271
94210, 619146
94230, 497251
94250, 665375
94270, 552508
94290, 578123
94310, 573965
94330, 492168
94350, 582124
94370, 566035
94390, 444474
94410, 621521
94430, 497204
94450, 568083
94470, 500845
94490, 553325
94510, 531012
94530, 512140
94550, 709193
94570, 600900
94590, 559911
94610, 592712
94630, 508580
94650, 657404
94670, 549869
94690, 475026
94710, 535984
94730, 744077
94750, 514527
94770, 480850
94790, 511782
94810, 727155
94830, 566107
94850, 612488
94870, 591199
94890, 599602
94910, 513626
94930, 547479
94950, 498400
94970, 610151
94990, 596582
95010, 617041
95030, 561623
95050, 513815
95070, 510210
95090, 621243
95110, 524977
95130, 546875
95150, 546462
95170, 602924
95190, 620901
95210, 506882
95230, 559743
95250, 717812
95270, 584033
95290, 534776
95310, 571395
95330, 487927
95350, 540579
95370, 516878
95390, 509612
95410, 521672
95430, 676274
95450, 522069
95470, 581680
95490, 559731
95510, 563696
95530, 587332
95550, 533981
95570, 506246
95590, 523512
95610, 522716
95630, 595047
95650, 556526
95670, 572994
95690, 625895
95710, 502852
95730, 538920
95750, 615347
95770, 544745
95790, 503171
95810, 583443
95830, 668858
95850, 556724
95870, 551172
95890, 514088
95910, 535943
95930, 605868
95950, 533980
95970, 553981
95990, 605245
96010, 523295
96030, 562344
96050, 662510
96070, 573790
96090, 514381
96110, 555864
96130, 540400
96150, 626859
96170, 583395
96190, 567676
96210, 529561
96230, 722353
96250, 651401
96270, 597882
96290, 589479
96310, 587977
96330, 556295
96350, 660669
96370, 677811
96390, 522200
96410, 561347
96430, 678405
96450, 544921
96470, 548078
96490, 506722
96510, 756304
96530, 629937
96550, 640331
96570, 627083
96590, 591647
96610, 605547
96630, 609843
96650, 631882
96670, 543928
96690, 548311
96710, 703347
96730, 634879
96750, 577042
96770, 514377
96790, 710023
96810, 649196
96830, 560490
96850, 618620
96870, 546073
96890, 597372
96910, 549202
96930, 578348
96950, 613376
96970, 563163
96990, 582037
97010, 524032
97030, 561508
97050, 588826
97070, 503605
97090, 555309
97110, 557655
97130, 567045
97150, 550883
97170, 589227
97190, 522324
97210, 499226
97230, 545807
97250, 564817
97270, 632097
97290, 679128
97310, 587115
97330, 541698
97350, 523881
97370, 626797
97390, 517852
97410, 683562
97430, 576407
97450, 722128
97470, 660051
97490, 616821
97510, 589723
97530, 528563
97550, 639244
97570, 534001
97590, 601640
97610, 677546
97630, 550445
97650, 525865
97670, 495998
97690, 504333
97710, 582151
97730, 601990
97750, 625616
97770, 627510
97790, 511036
97810, 523985
97830, 666797
97850, 566641
97870, 647625
97890, 560512
97910, 591464
97930, 569203
97950, 627100
97970, 572530
97990, 579934
98010, 514096
98030, 630794
98050, 547441
98070, 643429
98090, 697296
98110, 597836
98130, 496025
98150, 760164
98170, 549284
98190, 535961
98210, 607243
98230, 555993
98250, 630764
98270, 590169
98290, 580363
98310, 576327
98330, 555491
98350, 509298
98370, 513107
98390, 665795
98410, 627423
98430, 626893
98450, 690917
98470, 536570
98490, 618590
98510, 639315
98530, 607276
98550, 541843
98570, 791039
98590, 691179
98610, 535355
98630, 693675
98650, 590792
98670, 577211
98690, 575422
98710, 615991
98730, 457684
98750, 618078
98770, 586429
98790, 656825
98810, 611381
98830, 623898
98850, 580255
98870, 590128
98890, 630605
98910, 633951
98930, 762946
98950, 685713
98970, 513685
98990, 546972
99010, 551240
99030, 599908
99050, 646103
99070, 743889
99090, 571734
99110, 929431
99130, 568592
99150, 561599
99170, 510108
99190, 564898
99210, 521878
99230, 731605
99250, 547921
99270, 826225
99290, 530384
99310, 543800
99330, 543298
99350, 640153
99370, 584100
99390, 709349
99410, 611370
99430, 568816
99450, 564129
99470, 808112
99490, 646539
99510, 639679
99530, 564552
99550, 636424
99570, 676384
99590, 661779
99610, 543311
99630, 841077
99650, 618665
99670, 578868
99690, 658328
99710, 553407
99730, 590320
99750, 629047
99770, 627264
99790, 570861
99810, 577453
99830, 564800
99850, 637900
99870, 558945
99890, 562553
99910, 594089
99930, 623890
99950, 567184
99970, 670067
99990, 670338
